,Timestamp,Accel,Gyr,Label,Sep
51,13:25:39.678031,[-1223   660  1658  -109    14  -106  -665   460  1982],[ -91 -183   95 2018 -652  288 -258  142   65],fists,False
52,13:25:39.686709,[-1286   693  1697  -109    14  -106  -625   579  1911],[ -88 -153  113 2137 -632  186 -185  208    3],fists,False
53,13:25:39.695581,[-1259   744  1620  -109    14  -106  -530   581  1933],[-149 -130  119 2139 -689  138 -185  208    3],fists,False
54,13:25:39.705122,[-1117   770  1591  -149    44  -128  -502   628  1923],[-211  -83   73 2100 -684  109 -185  208    3],fists,False
55,13:25:39.714781,[-1033   743  1630  -149    44  -128  -517   626  1849],[-308  -46   61 2071 -693  120 -185  208    3],fists,False
56,13:25:39.722761,[-990  735 1646 -149   44 -128 -556  600 1905],[-420  -27   47 2065 -679  257 -185  208    3],fists,False
57,13:25:39.730738,[-1051   735  1652  -149    44  -128  -462   504  2144],[-400  -14   10 2055 -688  150  -74  145   71],fists,False
58,13:25:39.739716,[-1070   704  1756  -149    44  -128  -519   503  2233],[-302  -11    4 2072 -752  -61  -74  145   71],fists,False
59,13:25:39.747899,[-1117   697  1930  -199   -32   -65  -525   435  2407],[-142    5    9 2100 -740  -95  -74  145   71],fists,False
60,13:25:39.756524,[-1178   683  2079  -199   -32   -65  -519   420  2509],[  84   -7   15 2087 -757  -51  -74  145   71],fists,False
61,13:25:39.764855,[-1198   677  2122  -199   -32   -65  -499   451  2442],[ 274   38   21 2004 -888   52  -74  145   71],fists,False
62,13:25:39.774927,[-1255   627  2257  -199   -32   -65  -548   362  2672],[ 500  112   23 2165 -863  555    6   88   92],fists,False
63,13:25:39.781898,[-1307   631  2236  -199   -32   -65  -776   309  2749],[ 863  182  125 2213 -863  413    6   88   92],fists,False
64,13:25:39.791366,[-1329   758  1898  -175   -11   -18  -881   404  2314],[1180  146  309 2118 -827   74    6   88   92],fists,False
65,13:25:39.800309,[-1375   786  1794  -175   -11   -18  -711   472  2295],[1299   41  422 2102 -809  131    6   88   92],fists,False
66,13:25:39.809452,[-1352   742  1927  -175   -11   -18  -517   492  2451],[1463  -11  446 1993 -766   90  -39   20   -1],fists,False
67,13:25:39.817468,[-1205   760  1910  -175   -11   -18  -560   542  2228],[1634    9  499 2023 -809  107  -39   20   -1],fists,False
68,13:25:39.826486,[-1077   787  1837    -7    85    25  -534   565  2279],[1781   17  554 2098 -748  149  -39   20   -1],fists,False
69,13:25:39.834428,[-924  793 1782   -7   85   25 -487  695 2062],[1872  -53  598 2041 -786  -34  -39   20   -1],fists,False
70,13:25:39.843867,[-830  839 1675   -7   85   25 -376  826 1822],[1826  -99  563 1954 -800 -135  -39   20   -1],fists,False
71,13:25:39.852468,[-871  815 1788   -7   85   25 -184  857 1875],[1728 -118  449 1991 -757 -125 -130 -177 -104],fists,False
72,13:25:39.862015,[-968  706 2051   -7   85   25 -165  854 1976],[1726  -35  310 1948 -744 -163 -130 -177 -104],fists,False
73,13:25:39.869987,[-1068   763  1985   299   131   152  -326   916  1802],[1728   63  220 1964 -713 -115 -130 -177 -104],fists,False
74,13:25:39.878851,[-1110   844  1782   299   131   152  -439   924  1708],[1671  120  172 1919 -661  202 -130 -177 -104],fists,False
75,13:25:39.887602,[-1123   858  1588   299   131   152  -551   938  1579],[1557  156  160 2081 -790  152 -185 -437 -154],fists,False
76,13:25:39.897038,[-1189   908  1358   299   131   152  -615   976  1459],[1430  130  193 1869 -708  -33 -185 -437 -154],fists,False
77,13:25:39.907809,[-1190  1017  1154   299   131   152  -488   951  1683],[1320   86  156 1808 -622    7 -185 -437 -154],fists,False
78,13:25:39.916264,[-1135  1026  1107   560   121   254  -467   957  1761],[1366   80  102 1865 -637  -88 -185 -437 -154],fists,False
79,13:25:39.925222,[-1085  1019  1197   560   121   254  -530  1013  1531],[1349  127   99 2063 -758 -159 -185 -437 -154],fists,False
80,13:25:39.934007,[-1011   967  1298   560   121   254  -547  1071  1378],[1215  124  112 1917 -629  -43 -244 -568 -145],fists,False
81,13:25:39.942823,[-1019   958  1347   560   121   254  -520  1114  1418],[1067   94   65 2075 -615  -62 -244 -568 -145],fists,False
82,13:25:39.950758,[-1079   930  1367   684   137   228  -521  1006  1626],[ 970  117   21 2016 -542 -126 -244 -568 -145],fists,False
83,13:25:39.959193,[-1094   919  1361   684   137   228  -612   995  1698],[1070  150   15 2045 -354   83 -244 -568 -145],fists,False
84,13:25:39.967222,[-1129   952  1325   684   137   228  -704  1042  1585],[1082  181   62 1916 -703  -49 -244 -568 -145],fists,False
85,13:25:39.975231,[-1208   951  1317   684   137   228  -694  1029  1557],[1067  202  138 2029 -663 -251 -318 -544  -93],fists,False
86,13:25:39.983217,[-1240   971  1257   684   137   228  -630  1109  1463],[1043  148  182 1872 -521 -187 -318 -544  -93],fists,False
87,13:25:39.991937,[-1157  1033  1131   602   177   192  -559  1160  1342],[ 955   82  178 1811 -420 -114 -318 -544  -93],fists,False
88,13:25:40.000644,[-1173   905  1346   602   177   192  -526  1096  1508],[ 909   46  122 1802 -503  275 -318 -544  -93],fists,False
89,13:25:40.010098,[-1142   869  1450   602   177   192  -643  1156  1333],[ 905   55  141 1975 -501 -226 -352 -466  -49],fists,False
90,13:25:40.018463,[-958 1173 1015  602  177  192 -634 1353 1047],[ 596   15  183 1824 -586 -516 -352 -466  -49],fists,False
91,13:25:40.027159,[-938 1359  683  300  221  193 -568 1308 1331],[ 171  -12  165 1977 -638 -425 -352 -466  -49],fists,False
92,13:25:40.036149,[-978 1271  577  300  221  193 -508 1250 1527],[-112  -32  140 1820 -364 -559 -352 -466  -49],fists,False
93,13:25:40.044331,[-1015  1190   529   300   221   193  -528  1293  1521],[-208  -39  140 1966 -568 -559 -352 -466  -49],fists,False
94,13:25:40.053080,[-837 1372  283  300  221  193 -579 1482 1351],[ -532   -51   104  2175  -643 -1329  -407  -377   -27],fists,False
95,13:25:40.061875,[-835 1370 -112  300  221  193 -746 1327 1269],[-1148   -29   135  2293  -858 -2121  -407  -377   -27],fists,False
96,13:25:40.071833,[-1077   948   105  -259   270   159  -628  1295  1297],[-1585  -248   230  2379  -815 -1787  -407  -377   -27],fists,False
97,13:25:40.080012,[-1228   436   528  -259   270   159  -335  1234  1269],[-1778  -385   167  1979  -949 -1929  -407  -377   -27],fists,False
